ID,Word,Definition,Part of Speech,Example Sentence,Synonym 1,Synonym 2,CEFR Level,Difficulty Score,Category,Frequency Level,Word Family,Usage Note,Related Words
2863,Brooding,"Hang over, as of something threatening, dark, or menacing.",Verb,The terrible vision brooded over her all day long.,brood,hover,A2,8,General,Very Common,,,worry;care;hang
2864,Brotherhood,People engaged in a particular occupation.,Noun,The medical fraternity.,fraternity,sodality,B1,15,Society & Culture,Common,,,relationship;brother;stratum
2865,Brotherly,Like or characteristic of or befitting a brother.,Adjective,Brotherly feelings.,brotherlike,fraternal,B1,28,General,Common,,,brother
2866,Browned,Fry in a pan until it changes color.,Verb,Brown the meat in the pan.,brown,,B2,53,General,Less Common,,,colorize;colorise;colourize
2867,Browsing,Shop around; not necessarily buying.,Verb,"I don't need help, I'm just browsing.",shop,browse,B2,36,Business,Less Common,,,antique;search;seek
2868,Bruising,Injure the underlying soft tissue or bone of.,Verb,I bruised my knee.,bruise,contuse,B1,28,General,Common,,,enkindle;humiliate;mortify
2869,Brumous,Filled or abounding with fog or mist.,Adjective,A brumous October morning.,foggy,hazy,B2,53,General,Less Common,,,cloudy
2870,Brushed,"Rub with a brush, or as if with a brush.",Verb,Johnson brushed the hairs from his jacket.,brush,,A2,7,General,Very Common,,,osculate;rub;touch
2871,Brusque,Marked by rude or peremptory shortness.,Adjective,Try to cultivate a less brusque manner.,brusk,curt,B2,53,General,Less Common,,,brusqueness;discourteous
2872,Brutalise,"Make brutal, unfeeling, or inhuman.",Verb,Life in the camps had brutalized him.,brutalize,animalize,B2,53,General,Less Common,,,mistreat;maltreat;mollycoddle
2873,Brutally,In a vicious manner.,Adverb,He was viciously attacked.,viciously,savagely,B1,28,General,Common,,,inhumane
2874,Brutish,Resembling a beast; showing lack of human sensibility.,Adjective,Beastly desires.,beastly,bestial,B2,53,General,Less Common,,,inhumane
2875,Bubbling,"Form, produce, or emit bubbles.",Verb,The soup was bubbling.,bubble,,B1,23,General,Common,,,breathe;radiate;emanate
2876,Buckram,Rigidly formal.,Adjective,A starchy manner.,starchy,stiff,B2,53,General,Less Common,,,formal
2877,Buddhist,Of or relating to or supporting Buddhism.,Adjective,Buddhist sculpture.,buddhistic,,B1,19,General,Common,,,buddhism
2878,Buddhistic,Of or relating to or supporting Buddhism.,Adjective,Buddhist sculpture.,buddhist,,B2,53,General,Less Common,,,buddhism
2879,Buffeted,Strike against forcefully.,Verb,Winds buffeted the tent.,buffet,knock about,B1,28,General,Common,,,strike;hit;batter
2880,Buffoonish,Like a clown.,Adjective,A buffoonish walk.,clownish,clownlike,B2,53,General,Less Common,,,humorous;humourous
2881,Buirdly,Muscular and heavily built.,Adjective,A beefy wrestler.,beefy,burly,B2,53,General,Less Common,,,robust
2882,Bulletproof,Without flaws or loopholes.,Adjective,An ironclad contract.,unassailable,unshakable,B2,53,General,Less Common,,,incontestable;incontestible;armored
2883,Bullying,Be bossy towards.,Verb,Her big brother always bullied her when she was young.,strong-arm,bully,B2,36,Emotion,Less Common,,,inveigle;ballyrag;intimidate
2884,Bulwark,An embankment built around a space for defensive purposes.,Noun,They stormed the ramparts of the city.,rampart,wall,B1,17,Science & Technology,Common,,,barrier;railing;fencing
2885,Bumpkinly,Awkwardly simple and provincial.,Adjective,Bumpkinly country boys.,hick,rustic,B2,53,General,Less Common,,,provincial;bumpkin
2886,Bungled,"Make a mess of, destroy or ruin.",Verb,I botched the dinner and we had to eat out.,botch,bodge,B2,36,Society & Culture,Less Common,,,miscarry;mishandle;founder
2887,Bunglesome,Difficult to handle or manage especially because of shape.,Adjective,An awkward bundle to carry.,awkward,clumsy,B2,53,General,Less Common,,,unmanageable;unwieldy
2888,Bunting,"To strike, thrust or shove against.",Verb,He butted his sister out of the way.,butt,bunt,B2,53,General,Less Common,,,hit;strike;buffet
2889,Buoyant,Tending to float on a liquid or rise in air or gas.,Adjective,Buoyant balloons.,floaty,,B1,28,General,Common,,,buoyancy;buoy;light
2890,Burbling,Flow in an irregular current with a bubbling noise.,Verb,Babbling brooks.,ripple,babble,B2,53,General,Less Common,,,sound;gurgle
2891,Burdensome,Not easily borne; wearing.,Adjective,The burdensome task of preparing the income tax return.,onerous,taxing,B2,36,General,Less Common,,,burdensomeness;heavy
2892,Burlesque,Make a parody of.,Verb,The students spoofed the teachers.,spoof,parody,B1,28,Communication,Common,,,impersonate;caricature;mock
2893,Burnished,Polish and make shiny.,Verb,Buff the wooden floors.,buff,burnish,B2,36,General,Less Common,,,furbish;simonize;polish
2894,Burster,A quantity of explosive to be set off at one time.,Noun,This cartridge has a powder charge of 50 grains.,charge,bursting charge,B2,53,Science & Technology,Less Common,,,explosive;burst;shot
2895,Burundian,Of or relating to or characteristic of Burundi or its people.,Adjective,The Burundi capital.,burundi,,B2,53,General,Less Common,,,
2896,Bustier,(of a woman's body) having a large bosom and pleasing curves.,Adjective,Hollywood seems full of curvaceous blondes.,bosomy,busty,B2,53,General,Less Common,,,shapely
2897,Bustling,Move or cause to move energetically or busily.,Verb,The cheerleaders bustled about excitingly before their performance.,bustle,bustle about,B2,36,General,Less Common,,,hotfoot;move;rush
2898,Busyness,The state of being or appearing to be actively engaged in an activity.,Noun,They manifested all the busyness of a pack of beavers.,hum,,B2,36,General,Less Common,,,activity;operation;behavior
2899,Butcher,Kill (animals) usually for food consumption.,Verb,They slaughtered their only goat to survive the winter.,slaughter,,A2,12,General,Very Common,,,butchery;kill;cut
2900,Butcherly,Poorly done.,Adjective,A botchy piece of work.,botchy,unskillful,B2,53,General,Less Common,,,butcher;unskilled;bloody
2901,Butterfingered,"Lacking physical movement skills, especially with the hands.",Adjective,A bumbling mechanic.,bumbling,bungling,B2,53,General,Less Common,,,maladroit
2902,Buttery,Unpleasantly and excessively suave or ingratiating in manner or speech.,Adjective,Buttery praise.,fulsome,oily,B2,36,General,Less Common,,,insincere;butter;fatty
2903,Buttoned,Provide with buttons.,Verb,Button a shirt.,button,,B2,36,General,Less Common,,,add;sew;stitch
2904,Buttony,Small and round and shiny like a shiny bead or button.,Adjective,Bright beady eyes.,beady,beadlike,B2,53,General,Less Common,,,button;bright;adorned
2905,Buttressing,Reinforce with a buttress.,Verb,Buttress the church.,buttress,,B2,53,General,Less Common,,,reenforce;strengthen;bolster
2906,Buxomly,In a curvaceous way.,Adverb,His date was curvaceously beguiling.,curvaceously,,B2,53,General,Less Common,,,buxom;shapely
2907,Bycatch,Unwanted marine creatures that are caught in the nets while fishing for another species.,Noun,Thousands of dolphins and porpoises and whales are killed as part of the by-catch each year.,by-catch,,B2,53,Nature,Less Common,,,
2908,Cabalistic,Having a secret or hidden meaning.,Adjective,Cabalistic symbols engraved in stone.,kabbalistic,qabalistic,B2,53,General,Less Common,,,cabala;esoteric
2909,Caboodle,Any collection in its entirety.,Noun,She bought the whole caboodle.,bunch,lot,B2,53,Society & Culture,Less Common,,,collection;assemblage;aggregation
2910,Cabstand,A place where taxis park while awaiting customers.,Noun,In England the place where taxis wait to be hired is called a `taxi rank'.,taxistand,taxi rank,B2,53,Travel & Places,Less Common,,,stand
2911,Cacophonous,Having an unpleasant sound.,Adjective,As cacophonous as a henyard.,cacophonic,,B2,53,General,Less Common,,,guttural;jangling;rending
2912,Cadaveric,Of or relating to a cadaver or corpse.,Adjective,We had long anticipated his cadaverous end.,cadaverous,,B2,53,General,Less Common,,,cadaver
2913,Cadenced,Marked by a rhythmical cadence.,Adjective,The cadenced crunch of marching feet.,cadent,,B2,53,General,Less Common,,,rhythmic;rhythmical
2914,Cajolingly,In a cajoling manner.,Adverb,"`Come here,' she said coaxingly.",coaxingly,,B2,53,General,Less Common,,,
2915,Calamitous,(of events) having extremely unfortunate or dire consequences; bringing ruin.,Adjective,The stock market crashed on Black Friday.,black,disastrous,B1,28,General,Common,,,unfortunate;calamity
2916,Calceiform,Of slipper-shaped blossoms.,Adjective,The calceiform lip of certain orchids.,calceolate,,B2,53,General,Less Common,,,calceus
2917,Calculate,Have faith or confidence in.,Verb,You can count on me to help you any time.,count,bet,B1,19,Academic,Common,,,calculus;calculation;extract
2918,Calculative,Used of persons.,Adjective,The most calculating and selfish men in the community.,calculating,conniving,B2,53,General,Less Common,,,calculate;hard
2919,Calculus,A hard lump produced by the concretion of mineral salts; found in hollow organs or ducts of the body.,Noun,Renal calculi can be very painful.,concretion,,B2,53,General,Less Common,,,outcropping;intrusion;calculous
2920,Calefactive,Serving to heat.,Adjective,A heating pad is calefactory.,calefactory,,B2,53,General,Less Common,,,hot
2921,Calendered,"Press between rollers or plates so as to smooth, glaze, or thin into sheets.",Verb,Calender paper.,calender,,B2,53,General,Less Common,,,press;iron
2922,Calendrical,Relating to or characteristic of or used in a calendar or time measurement.,Adjective,Calendric systems.,calendric,,B2,53,General,Less Common,,,calendar;calender
2923,Calibrate,Make fine adjustments or divide into marked intervals for optimal measuring.,Verb,Calibrate an instrument.,graduate,fine-tune,B2,53,General,Less Common,,,correct;calibration;adjust
2924,Calibrated,Make fine adjustments or divide into marked intervals for optimal measuring.,Verb,Calibrate an instrument.,calibrate,graduate,B1,23,General,Common,,,correct;adjust;set
2925,Calibre,A degree or grade of excellence or worth.,Noun,The quality of students has risen.,quality,caliber,B1,28,General,Common,,,lowness;extreme;intensity
2926,Calling,Assign a specified (usually proper) proper name to.,Verb,They named their son David.,name,call,A2,5,Communication,Very Common,,,nickname;baptize;christen
2927,Callipygous,Pertaining to or having finely developed buttocks.,Adjective,The quest for the callipygian ideal.,callipygian,,B2,53,General,Less Common,,,shapely
2928,Callous,Emotionally hardened.,Adjective,A callous indifference to suffering.,indurate,pachydermatous,A2,13,General,Very Common,,,toughened;callosity;callousness
2929,Calloused,Having calluses; having skin made tough and thick through wear.,Adjective,Calloused skin.,callous,thickened,B1,28,General,Common,,,toughened;tough
2930,Calming,Make calm or still.,Verb,Quiet the dragons of worry and fear.,calm,calm down,B1,28,Emotion,Common,,,comfort;console;compose
2931,Caloric,Relating to or associated with heat.,Adjective,Thermal movements of molecules.,thermal,thermic,B1,23,General,Common,,,calorie;heat
2932,Calving,Release ice.,Verb,The icebergs and glaciers calve.,calve,break up,B1,23,General,Common,,,separate;deliver;dismember
2933,Cambrian,Of or relating to or characteristic of Wales or its people or their language.,Adjective,The Welsh coast.,welsh,,B2,53,General,Less Common,,,cambria
2934,Camouflaged,Disguise by camouflaging; exploit the natural surroundings to disguise something.,Verb,The troops camouflaged themselves before they went into enemy territory.,camouflage,,B1,28,General,Common,,,disguise;mask;masquerade
2935,Campanular,Shaped like a bell or campana.,Adjective,Campanulate flowers of the genus Campanula.,campanulate,campanulated,B2,53,General,Less Common,,,campana
2936,Campanulated,Shaped like a bell or campana.,Adjective,Campanulate flowers of the genus Campanula.,campanulate,campanular,B2,53,General,Less Common,,,campana
2937,Canalise,Direct the flow of.,Verb,Channel information towards a broad audience.,channel,canalize,B2,53,General,Less Common,,,provide;furnish;channelize
2938,Canalize,Direct the flow of.,Verb,Channel information towards a broad audience.,channel,canalise,B2,53,General,Less Common,,,provide;furnish;channelize
2939,Candidly,(used as intensives reflecting the speaker's attitude) it is sincerely the case that.,Adverb,"Honestly, I don't believe it.",honestly,frankly,B1,28,General,Common,,,sincere;candid;direct
2940,Cannily,With foresight.,Adverb,"More presciently than they superiors, these workers grasped the economic situation.",presciently,,B2,53,General,Less Common,,,discerning;canny;smart
2941,Cannulise,Introduce a cannula or tube into.,Verb,Cannulate the blood vessel in the neck.,cannulate,cannulize,B2,53,General,Less Common,,,introduce;implant;intubate
2942,Cannulize,Introduce a cannula or tube into.,Verb,Cannulate the blood vessel in the neck.,cannulate,cannulise,B2,53,General,Less Common,,,introduce;implant;intubate
2943,Canonical,Appearing in a biblical canon.,Adjective,A canonical book of the Christian New Testament.,canonic,,B2,53,General,Less Common,,,canon
2944,Canonised,Treat as a sacred person.,Verb,He canonizes women.,canonize,canonise,B2,53,Communication,Less Common,,,glorify;proclaim;adjudge
2945,Canonized,Declare (a dead person) to be a saint.,Verb,"After he was shown to have performed a miracle, the priest was canonized.",canonize,canonise,B1,28,Communication,Common,,,adjudge;glorify;proclaim
2946,Cantering,Ride at a canter.,Verb,The men cantered away.,canter,,B2,53,General,Less Common,,,pace;gallop;prance
2947,Cantillate,Recite with musical intonation; recite as a chant or a psalm.,Verb,The rabbi chanted a prayer.,chant,intone,B2,53,Communication,Less Common,,,harmonize;vocalise;cantillation
2948,Canulate,Introduce a cannula or tube into.,Verb,Cannulate the blood vessel in the neck.,cannulate,cannulize,B2,53,General,Less Common,,,introduce;implant;cannulise
2949,Canvasser,Someone who conducts surveys of public opinion.,Noun,A pollster conducts public opinion polls.,pollster,poll taker,B2,53,Society & Culture,Less Common,,,suppliant;requester;inspector
